year,ccode,mitchell_imr_sqrt
1945,255,8.654478609
1946,255,9.848857802
1947,255,9.273618495
1948,255,8.306623863
1946,265,11.44552314
1947,265,10.67707825
1948,265,9.433981132
1949,265,8.831760866
1950,265,8.485281374
1951,265,8
1952,265,7.681145748
1953,265,7.348469228
1954,265,7.071067812
1955,265,7
1956,265,6.8556546
1957,265,6.782329983
1958,265,6.633249581
1959,265,6.403124237
1960,265,6.244997998
1961,265,5.830951895
1962,265,5.656854249
1963,265,5.567764363
1964,265,5.385164807
1965,265,5
1966,265,4.795831523
1967,265,4.582575695
1968,265,4.472135955
1969,265,4.472135955
1970,265,4.358898944
1971,265,4.242640687
1972,265,4.242640687
1973,265,4
1974,265,4
1975,265,4
1976,265,3.741657387
1977,265,3.605551275
1978,265,3.605551275
1979,265,3.605551275
1980,265,3.464101615
1981,265,3.464101615
1982,265,3.31662479
1983,265,3.31662479
1984,265,3.16227766
1985,265,3.16227766
1986,265,3
1987,265,3
1988,265,2.828427125
1989,265,2.828427125
1980,680,10.67707825
1981,680,10.67707825
1982,680,10.67707825
1983,680,10.67707825
1984,680,10.67707825
1985,680,10.67707825
1986,680,10.67707825
1987,680,11.70469991
1988,680,11.70469991
1989,680,11.91637529
